id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
ATNHPIUS45540Q,2024-09-18,2024-09-18,"All-Transactions House Price Index for the Villages, FL (MSA)",2000-10-01,2024-04-01,Quarterly,Q,Index 1995:Q1=100,Index 1995:Q1=100,Not Seasonally Adjusted,NSA,2024-08-27 09:03:17-05:00,8,Estimated using sales prices and appraisal data.
ENUC455430010,2024-09-18,2024-09-18,"Total Quarterly Wages in the Villages, FL (MSA)",2013-01-01,2023-10-01,Quarterly,Q,Dollars,$,Not Seasonally Adjusted,NSA,2024-09-04 14:11:21-05:00,1,"Total wages are the wages paid by Unemployment Insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans). The data were retrieved from the BLS API on the ""Updated"" date referenced above the graph. BLS.gov cannot vouch for the data or analyses derived from these data after the data have been retrieved from BLS.gov. """
ENUC455430010SA,2024-09-18,2024-09-18,"Total Quarterly Wages in the Villages, FL (MSA)",2013-01-01,2023-10-01,Quarterly,Q,Dollars,$,Seasonally Adjusted,SA,2024-09-04 14:11:35-05:00,0,"The data were retrieved from the BLS API on the ""Updated"" date referenced above the graph. BLS.gov cannot vouch for the data or analyses derived from these data after the data have been retrieved from BLS.gov. """
ENUC455440010,2024-09-18,2024-09-18,"Average Weekly Wages for Employees in Total Covered Establishments in The Villages, FL (MSA)",2013-01-01,2023-10-01,Quarterly,Q,Dollars per Week,$ per Week,Not Seasonally Adjusted,NSA,2024-09-04 14:11:35-05:00,0,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans).  The data were retrieved from the BLS API on the ""Updated"" date referenced above the graph. BLS.gov cannot vouch for the data or analyses derived from these data after the data have been retrieved from BLS.gov. """
ENUC455440010SA,2024-09-18,2024-09-18,"Average Weekly Wages for Employees in Total Covered Establishments in The Villages, FL (MSA)",2013-01-01,2023-10-01,Quarterly,Q,Dollars per Week,$ per Week,Seasonally Adjusted,SA,2024-09-04 14:11:22-05:00,1,"The data were retrieved from the BLS API on the ""Updated"" date referenced above the graph. BLS.gov cannot vouch for the data or analyses derived from these data after the data have been retrieved from BLS.gov. """
ENUC455440110,2024-09-18,2024-09-18,"Average Weekly Wages for Employees in Federal Government Establishments in The Villages, FL (MSA)",2013-01-01,2023-10-01,Quarterly,Q,Dollars per Week,$ per Week,Not Seasonally Adjusted,NSA,2024-06-05 11:14:36-05:00,1,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans).  The data were retrieved from the BLS API on the ""Updated"" date referenced above the graph. BLS.gov cannot vouch for the data or analyses derived from these data after the data have been retrieved from BLS.gov. """
ENUC455440110SA,2024-09-18,2024-09-18,"Average Weekly Wages for Employees in Federal Government Establishments in The Villages, FL (MSA)",2013-01-01,2023-10-01,Quarterly,Q,Dollars per Week,$ per Week,Seasonally Adjusted,SA,2024-06-05 11:23:18-05:00,0,"The data were retrieved from the BLS API on the ""Updated"" date referenced above the graph. BLS.gov cannot vouch for the data or analyses derived from these data after the data have been retrieved from BLS.gov. """
ENUC455440210,2024-09-18,2024-09-18,"Average Weekly Wages for Employees in State Government Establishments in The Villages, FL (MSA)",2013-01-01,2023-10-01,Quarterly,Q,Dollars per Week,$ per Week,Not Seasonally Adjusted,NSA,2024-06-05 11:14:35-05:00,1,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans).  The data were retrieved from the BLS API on the ""Updated"" date referenced above the graph. BLS.gov cannot vouch for the data or analyses derived from these data after the data have been retrieved from BLS.gov. """
ENUC455440210SA,2024-09-18,2024-09-18,"Average Weekly Wages for Employees in State Government Establishments in The Villages, FL (MSA)",2013-01-01,2023-10-01,Quarterly,Q,Dollars per Week,$ per Week,Seasonally Adjusted,SA,2024-06-05 11:23:18-05:00,0,"The data were retrieved from the BLS API on the ""Updated"" date referenced above the graph. BLS.gov cannot vouch for the data or analyses derived from these data after the data have been retrieved from BLS.gov. """
ENUC455440310,2024-09-18,2024-09-18,"Average Weekly Wages for Employees in Local Government Establishments in The Villages, FL (MSA)",2013-01-01,2023-10-01,Quarterly,Q,Dollars per Week,$ per Week,Not Seasonally Adjusted,NSA,2024-09-04 14:11:22-05:00,1,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans).  The data were retrieved from the BLS API on the ""Updated"" date referenced above the graph. BLS.gov cannot vouch for the data or analyses derived from these data after the data have been retrieved from BLS.gov. """
ENUC455440310SA,2024-09-18,2024-09-18,"Average Weekly Wages for Employees in Local Government Establishments in The Villages, FL (MSA)",2013-01-01,2023-10-01,Quarterly,Q,Dollars per Week,$ per Week,Seasonally Adjusted,SA,2024-09-04 14:11:35-05:00,0,"The data were retrieved from the BLS API on the ""Updated"" date referenced above the graph. BLS.gov cannot vouch for the data or analyses derived from these data after the data have been retrieved from BLS.gov. """
ENUC455440510,2024-09-18,2024-09-18,"Average Weekly Wages for Employees in Private Establishments in The Villages, FL (MSA)",2013-01-01,2023-10-01,Quarterly,Q,Dollars per Week,$ per Week,Not Seasonally Adjusted,NSA,2024-09-04 14:11:36-05:00,0,"Average weekly wages are the wages paid by unemployment insurance covered employers during the calendar quarter, regardless of when the services were performed. Included in wages are pay for vacation and other paid leave, bonuses, stock options, tips, the cash value of meals and lodging, and in some States, contributions to deferred compensation plans (such as 401(k) plans).  The data were retrieved from the BLS API on the ""Updated"" date referenced above the graph. BLS.gov cannot vouch for the data or analyses derived from these data after the data have been retrieved from BLS.gov. """
ENUC455440510SA,2024-09-18,2024-09-18,"Average Weekly Wages for Employees in Private Establishments in The Villages, FL (MSA)",2013-01-01,2023-10-01,Quarterly,Q,Dollars per Week,$ per Week,Seasonally Adjusted,SA,2024-09-04 14:11:36-05:00,0,"The data were retrieved from the BLS API on the ""Updated"" date referenced above the graph. BLS.gov cannot vouch for the data or analyses derived from these data after the data have been retrieved from BLS.gov. """
IRPD45540,2024-09-18,2024-09-18,"Implicit Regional Price Deflator for The Villages, FL (MSA)",2008-01-01,2022-01-01,Annual,A,US PCE Index 2012=100,US PCE Index 2012=100,Not Seasonally Adjusted,NSA,2023-12-14 11:59:07-06:00,0,"The Implicit Regional Price Deflator (IRPD) is the ratio of the current-dollar value of a series, such as regional personal income, to its corresponding chained-dollar value, multiplied by 100.  For more information about this release go to http://www.bea.gov/newsreleases/regional/rpp/rpp_newsrelease.htm or http://www.bea.gov/regional/methods.cfm."
LAUMT124554000000003,2024-09-18,2024-09-18,"Unemployment Rate in The Villages, FL (MSA)",1990-01-01,2024-07-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-08-28 10:20:14-05:00,1,
