id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes
A05065USA406NNBR,2024-09-18,2024-09-18,"Inventory Holdings on December 31 in Current Valuation, Total, Excluding Farmers for United States",1918-01-01,1937-01-01,Annual,A,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2012-08-17 10:48:29-05:00,1,"Beginning In 1934, There Was A Change Of Industrial Classification In ""Statistics Of Income,"" That Form The Basis Of Simon Kuznet'S Estimates. Figures Thereafter Are On The New Basis Of Classification. The 1934 Figure, Based On The Earlier Classification Is 18,596. Source: Compiled By Moses Abramovitiz; See Inventories And Business Cycles, With Special Reference To Manufacturers' Inventories.  This NBER data series a05065 appears on the NBER website in Chapter 5 at http://www.nber.org/databases/macrohistory/contents/chapter05.html.  NBER Indicator: a05065"
A05086USA418NNBR,2024-09-18,2024-09-18,"Iron Ore Stocks at Mines, Total for United States",1911-01-01,1946-01-01,"Annual, End of Year",A,Millions of Long Tons,Mil. of Long Tons,Not Seasonally Adjusted,NSA,2012-08-17 10:49:24-05:00,1,"Series Is Presented Here As Three Variables--(1)--Original Data, 1889-1915 (2)--Original Data, 1911-1946 (3)--Original Data, 1943-1955. Coverage Does Not Include Ore Containing Five Percent Or More Manganese. Source: U.S. Bureau Of Mines, Mineral Resources And Minerals Yearbook  This NBER data series a05086 appears on the NBER website in Chapter 5 at http://www.nber.org/databases/macrohistory/contents/chapter05.html.  NBER Indicator: a05086"
A05087USA601NNBR,2024-09-18,2024-09-18,"Slab Zinc Stocks at Smelters, on December 31 for United States",1905-01-01,1940-01-01,Annual,A,Thousands of Short Tons,Thous. of Short Tons,Not Seasonally Adjusted,NSA,2012-08-17 10:47:37-05:00,1,"Figures Refer To The Primary Zinc On Hand At Primary Reduction Plants (Plants Refining Primary Ore.) Data Also Include Stocks At Secondary Distilling Plants. Source: U.S. Bureau Of Mines, Mineral Resource And Minerals Yearbook  This NBER data series a05087 appears on the NBER website in Chapter 5 at http://www.nber.org/databases/macrohistory/contents/chapter05.html.  NBER Indicator: a05087"
A05098USA174NNBR,2024-09-18,2024-09-18,"Changes in Inventory Assets, Medium Sized and Small Manufacturing Corporations for United States",1917-01-01,1942-01-01,Annual,A,Thousands of Dollars,Thous. of $,Not Seasonally Adjusted,NSA,2012-08-17 10:50:19-05:00,0,"Postive Items Represent An Absorption Of Cash; Negative Items, A Release. Source: Friedrich A. Lutz, ""Corporate Cash Balances 1914-1943, "" Manufacturing And Trade, 1945, Table D-3, Column 12  This NBER data series a05098 appears on the NBER website in Chapter 5 at http://www.nber.org/databases/macrohistory/contents/chapter05.html.  NBER Indicator: a05098"
A05100USA144NNBR,2024-09-18,2024-09-18,"Inventory, Holdings, Year End, Large Manufacturing Corporations, Including Rubber Companies for United States",1920-01-01,1945-01-01,Annual,A,Millions of Dollars,Mil. Of $,Not Seasonally Adjusted,NSA,2012-08-17 10:50:40-05:00,0,"Data Compiled By NBER From Source Material Such As Moody'S Industrial, Poor'S Industrial Manuals, The Commercial And Financial Chronicle, Annual Reports Of Corporations, Etc. Source: NBER, Confidential Report Of May 1945, ""Corporate Financial Data For Studies In Business Finance, "" Section 1 - Large Corporations  This NBER data series a05100 appears on the NBER website in Chapter 5 at http://www.nber.org/databases/macrohistory/contents/chapter05.html.  NBER Indicator: a05100"
A054GAUSA406NNBR,2024-09-18,2024-09-18,"Net Changes in Inventories, in Current Prices for United States",1919-01-01,1939-01-01,Annual,A,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2012-08-17 10:48:40-05:00,1,"Series Is Presented Here As Two Variables--(1)--Original Data, 1919-1939 (2)--Original Data, 1929-1958. Source: Computed By NBER From Simon Kuznets, National Product Since 1869, Worksheet To Table I-11, P. 46  This NBER data series a05064ga appears on the NBER website in Chapter 5 at http://www.nber.org/databases/macrohistory/contents/chapter05.html.  NBER Indicator: a05064ga"
A054GBUSA406NNBR,2024-09-18,2024-09-18,"Change in Business Inventories, Total, in Current Prices for United States",1929-01-01,1958-01-01,Annual,A,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2012-08-17 10:47:08-05:00,2,"Series Is Presented Here As Two Variables--(1)--Original Data, 1919-1939 (2)--Original Data, 1929-1958. Source: Survey Of Current Business, July 1959, Table I-1, P. 6  This NBER data series a05064gb appears on the NBER website in Chapter 5 at http://www.nber.org/databases/macrohistory/contents/chapter05.html.  NBER Indicator: a05064gb"
A0597AUSA144NNBR,2024-09-18,2024-09-18,"Changes in Inventory Assets, Large Manufacturing Corporations for United States",1915-01-01,1922-01-01,Annual,A,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2012-08-17 10:46:56-05:00,1,"Series Is Presented Here As Two Variables--(1)--Original Data, 1915-1922 (2)--Original Data, 1921-1943. Data Exclude Rubber Companies. Source: Friedrich A. Lutz, ""Corporate Cash Balances 1914-1943, "" Manufacturing And Trade, 1945, Table D-2, Columns 20 And 31  This NBER data series a05097a appears on the NBER website in Chapter 5 at http://www.nber.org/databases/macrohistory/contents/chapter05.html.  NBER Indicator: a05097a"
A0597BUSA144NNBR,2024-09-18,2024-09-18,"Changes in Inventory Assets, Large Manufacturing Corporations for United States",1921-01-01,1943-01-01,Annual,A,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2012-08-17 10:49:07-05:00,1,"Series Is Presented Here As Two Variables--(1)--Original Data, 1915-1922 (2)--Original Data, 1921-1943. Data Exclude Rubber Companies. Source: Friedrich A. Lutz, ""Corporate Cash Balances 1914-1943, "" Manufacturing And Trade, 1945, Table D-2, Columns 20 And 31  This NBER data series a05097b appears on the NBER website in Chapter 5 at http://www.nber.org/databases/macrohistory/contents/chapter05.html.  NBER Indicator: a05097b"
M05004USM596NNBR,2024-09-18,2024-09-18,Cotton Stocks in Public Storage and at Compresses for United States,1912-09-01,1956-01-01,"Monthly, End of Month",M,Thousands of Running Bales,Thous. of Running Bales,Not Seasonally Adjusted,NSA,2012-08-17 10:48:25-05:00,1,"Linters Are Excluded From This Coverage. Part Stocks Are Included. A Running Bale Is A Varying Weight Of Bale Depending On The Ginnery. Running Bales Are Bales As Pressed At The Ginneries. Round Bales Are Counted As Half Bales. After 1949, Reports On Cotton Were No Longer Made On A Calendar Month Basis, But For Four Or Five Week Periods. Therefore, Beginning In January 1950, The Figures Refer To The Saturday Near The End Of The Month, Up To And Including The Fourth Day Of The Following Month. Source: U.S. Bureau Of The Census, Bulletin No. 135, ""Cotton Production And Distribution"" And Following Bulletins Through No. 189 (1952); Thereafter, Data Are From Monthly Releases, ""Cotton And Linters, "" Facts For Industry Series M-15-1  This NBER data series m05004 appears on the NBER website in Chapter 5 at http://www.nber.org/databases/macrohistory/contents/chapter05.html.  NBER Indicator: m05004"
